date,open,high,low,close,volume
2025-02-25,6256.006214,6263.564925,6176.248781,6234.372662,1864021
2025-02-26,6242.192018,6280.246218,6198.664269,6245.319761,1644114
2025-02-27,6250.79331,6263.043635,6123.07716,6131.417806,2198039
2025-02-28,6130.11458,6225.25008,6097.012639,6211.696529,2339831
2025-03-03,6239.585566,6252.357181,6069.644893,6125.162321,2229904
2025-03-04,6066.777795,6125.944257,5988.584234,6073.03328,2787467
2025-03-05,6034.45779,6119.428127,5995.621654,6094.406187,1818030
2025-03-06,6019.601013,6069.123602,5963.562294,6006.568753,2155366
2025-03-07,5970.078424,6037.585532,5914.560995,6017.515852,1865646
2025-03-10,5933.588095,5954.439712,5808.739042,5868.426794,2068527
2025-03-11,5847.835823,5884.065506,5769.642261,5814.212592,2072069
2025-03-12,5875.464215,5885.368733,5786.5842,5835.585498,1513476
2025-03-13,5836.367434,5842.362274,5743.838386,5773.291294,1561729
2025-03-14,5809.260333,5889.278411,5800.919686,5868.426794,1307640
2025-03-17,5877.288731,5950.530034,5872.597117,5922.119706,554841
2025-03-18,5898.140348,5900.225509,5838.452596,5857.479696,299082
2025-03-19,5877.028086,5961.998423,5864.256471,5920.034545,205639
2025-03-20,5881.459054,5957.567454,5873.379053,5907.78422,139006
2025-03-21,5853.527477,5913.726625,5841.384301,5911.401336,1214827
2025-03-24,5975.992697,6020.431553,5969.275196,6007.513281,1106689
2025-03-25,6020.948284,6032.574729,6003.896165,6027.149055,842430
2025-03-26,6018.881361,6029.732709,5935.170957,5947.314133,1269497
2025-03-27,5934.912592,5973.150677,5911.401336,5933.362399,1287285
2025-03-28,5915.018453,5923.027781,5789.711213,5789.969578,1595221
2025-03-31,5749.664569,5862.570268,5718.919081,5833.374973,1766518
2025-04-01,5827.432567,5885.306427,5787.644289,5862.053537,1521047
2025-04-02,5800.820927,5966.433176,5752.506589,5771.367266,1731713
2025-04-03,5696.441288,5725.894948,5596.453861,5602.396267,1823498
2025-04-04,5469.079698,5492.332588,5243.785032,5267.296287,2588168
2025-04-07,5107.109712,5463.395658,5029.858445,5289.25735,2426194
2025-04-08,5448.410462,5482.773066,5105.817885,5179.968767,1829856
2025-04-09,5149.481645,5704.708982,5146.639625,5697.99148,2190362
2025-04-10,5555.373756,5569.32549,5318.969376,5481.99797,1856600
2025-04-11,5457.969984,5599.554247,5427.224496,5576.301357,1229829
2025-04-14,5677.06388,5680.42263,5571.392413,5614.022711,1001830
2025-04-15,5631.591562,5668.53782,5600.846074,5607.046844,920261
2025-04-16,5546.847696,5581.727031,5426.707765,5476.830661,1208403
2025-04-17,5500.858647,5538.838368,5462.362196,5504.734129,1030903
2025-04-21,5433.166901,5438.592576,5298.816871,5357.465827,994737
